code,question,ans1,pts1,ans2,pts2,ans3,pts3,ans4,pts4,ans5,pts5
L11M,"En passant au terrain d'atterrissage, vous mettez votre altimètre à 0. Il est calé :",au QNH,-6,au niveau de vol,-6,au QFE,6,,,,
L12M,"Avant de décoller, vous calez votre altimètre au QNH ; celui-ci doit indiquer :",0 mètre,-6,l'altitude topographique du terrain,6,le niveau de vol,-6,,,,
L13M,Le calage altimétrique QFE permet de connaître :,la hauteur de votre aile au-dessus ou au-dessous du lieu où a été effectué le calage,6,l'altitude de votre aile au-dessus du niveau de la mer,-6,la hauteur de votre aile au-dessus du sol qu'elle survole,-6,,,,
L14B, Le variomètre de base :,peut mesurer la vitesse du vent s'il est utilisé au sol,-6,utilise ses capacités d'analyse des variations instantanées de pression statique,6,mesure la vitesse ascensionnelle de la masse d'air dans un thermique,-6,extrapole et traduit des variations de pression en « mètre par seconde » (m/s),3,,
L15B,Le variomètre de base donne des indications sur la vitesse verticale :,de la masse d'air par rapport au sol,-6,de la masse d'air par rapport à l'aile,-6,de l'aile par rapport au sol,6,de l'aile par rapport au niveau de la mer,-6,,
L16B,Un variomètre fait une estimation :,de la vitesse verticale de votre aile par rapport au sol,6,de la hauteur de votre aile,-6,de la direction de votre aile par rapport au nord,-6,,,,
L17M,Un variomètre donne ses indications en fonction de la variation :,de la température,-6,de la pression atmosphérique,6,de l'humidité,-6,,,,
L18V,La visite prévol ne doit pas oublier :,"le harnais, notamment les cuissardes et la vérification de la bonne fermeture des boucles automatiques",3,vérification visuelle des lacets de chaussure,1,vérification visuelle de la bonne fermeture du container parachute,2,vérification visuelle de la bonne marche des instruments,0,,
L19B,Le parachute de secours :,nécessite de vérifier le bon verrouillage de son container/sellette lors de la visite prévol,2,"son aération, son repliage et son reconditionnement sont à faire au moins une fois tous les 2 ans",-6,est un sujet qui exige une étude et une préparation pour en optimiser son fonctionnement,2,nécessite de vérifier la bonne position de la poignée d'extraction lors de la visite prévol,2,,
L1B,Un parachute de secours hémisphérique ou «non-rond » :,leur performance se juge par leur stabilité,2,leur performance se juge par taux de chute,2,font l'objet de la norme CEN avant d'être mis sur le marché,2,leur dispositif d'extraction et d'ouverture est automatique,-6,,
L2B,L'attention à porter au parachute de secours pour le pilote c'est savoir qu'il faut :,envisager de l'aérer le replier et le reconditionner au moins 1 fois par an,2,savoir le replier,-6,se préparer en permanence à son utilisation,2,savoir le reconditionner dans sa sellette,2,,
L3V,"Lors du stockage ou du transport, un parapente ou un parachute de secours doit être protégé du voisinage ou du contact :",des solvants et des corps gras,2,de l'humidité et de la chaleur,1,du rayonnement solaire,3,,,,
L4B,L'emport du parachute de secours :,impose une prévol qui valide le système de verrouillage du container de la sellette,2,expose le pilote à des risques d'ouverture intempestive,2,n'exige pas l'étude d'un geste d'extraction particulier,-6,"demande de réfléchir à la direction, la puissance et la rapidité du geste de lancé",2,,
L5V,Un casque de vol libre doit :,permettre une bonne audition et une bonne visibilité,2,être solide et pouvoir absorber les chocs,2,être léger pour ne pas fatiguer le cou,2,,,,
L6B,L'anémomètre est un instrument indiquant :,la direction du vent,-6,la vitesse du vent instantané lorsque l'on est au sol,3,la vitesse du vent relatif à bord,3,,,,
L7B,L'altimètre :,indique la vitesse à laquelle varie la pression,-6,même en parfait état est susceptible d'afficher pour une altitude donnée des valeurs qui peuvent varier selon l'heure et le lieu,3,ne subit pas l'influence des variations de température,-6,utilise une échelle d'altitude calibrée pour des valeurs météo moyennes (atmosphère standard),3,,
L8B,Un altimètre permet d'obtenir une information sur :,le gradient vertical de pression atmosphérique,0,la variation du taux d'humidité,-6,l'altitude,6,,,,
L9B,Un altimètre :,"peut être calé à différentes valeurs (niveau de la mer, du décollage, de l'atterrissage, etc.)",2,donne une indication variant avec les données atmosphériques,2,est calé définitivement à la construction,-6,"doit toujours être comparé et réglé par rapport aux valeurs connues (décollage, points reconnus, atterrissage)",2,,
N10V,Un changement de calage du parapente influe sur :,la polaire des vitesses,2,la vitesse max et la finesse max,2,la stabilité et le décrochage,2,,,,
N11M,Caler une aile plus cabrée :,augmente le risque de fermeture,-6,augmente le risque de mise en parachutage stabilisé,3,rend l'aile plus paresseuse au gonflage,3,rend l'aile plus nerveuse au décollage,-6,,
N12M,Caler une aile plus piquée :,augmente le risque de fermeture,3,augmente le risque de mise en parachutage stabilisé,-6,rend l'aile plus paresseuse au gonflage,-6,rend l'aile plus nerveuse au décollage,3,,
N13B,Les parties de l'aile subissant le plus d'efforts en vols sont :,les suspentes A et B,3,la partie arrière du profil,-6,la partie avant du profil,3,les suspentes D,-6,,
N14V,Le réglage des freins sur un parapente,doit permettre d'obtenir le décrochage avec les mains à hauteur de nombril,-6,peut être systématiquement raccourcis de 15 cm lors de sa mise en service,-6,doit être vérifié régulièrement d'autant qu'ils sont réglés avec peu de « garde »,3,"doit tenir compte qu'à fond d'accélérateur et « bras hauts », l'aile ne soit pas bridée",3,,
N15V,Les différents modèles de sellettes parapentes :,sont conçus avec plus ou moins d'« instabilité »,2,ont des réglages pour que l'on puisse obtenir une posture de pilotage active et confortable,1,ont une influence sur le pilotage,2,"interchangés avec un autre modèle, peuvent modifier le comportement de votre aile",1,,
N17M,L'utilisation de trims ou afficheurs :,ne met pas en cause le calage de l'aile,-6,peut tout autant être conçu pour augmenter ou diminuer la vitesse,3,est généralement au neutre lorsque les maillons rapides de liaison aux suspentes sont au même niveau,3,est sans inconvénient,-6,,
N18M,L'utilisation de trims ou afficheurs peut :,augmenter les risques de fermeture,2,améliorer la pénétration,1,faciliter le gonflage,1,augmenter les risques de mise en parachutage stabilisé,2,,
N19V,En vol la position mains hautes correspond :,à la vitesse mini,-6,au taux de chute mini,-6,approximativement à la finesse/air max,3,à la vitesse max sans utilisation de l'accélérateur,3,,
N20M,Critères de performances d'une aile :,la maniabilité,2,l'étendue de la plage de vitesse,2,la finesse max,2,,,,
N21V,Critères de choix d'une aile :,la charge alaire,1,"la finesse max, le taux de chute mini, la pénétration",1,"la maniabilité, le comportement en turbulences, la stabilité",2,l'homologation,2,,
N22B,Pour votre sécurité :,vous faites vérifier votre aile par un atelier dès que vous constatez un comportement inhabituel en virage,2,vous faites vérifier votre aile par un atelier dès que vous constatez une paresse inhabituelle au gonflage,2,vous équipez votre sellette d'un kit de secours comprenant au minimum une ficelle résistante de 20 m,2,,,,
N23B,"Votre voile neuve vire systématiquement à droite, drisses de freins détendues :",vous portez votre poids sur votre fesse gauche et vérifiez si une déviation de la trajectoire équivalente du côté opposé se produit,3,une fois posé vous décalez le niveau des élévateurs droits sur le harnais,-6,vous tendez d'avantage le cuissard droit,-6,vous contactez le revendeur pour un contrôle en usine,3,,
N24M,"Avec les trims, rallonger les élévateurs arrière :",augmente la vitesse de l'aile,2,favorise les fermetures en turbulences,2,rend l'aile paresseuse au gonflage,-6,"révèle les réglages « trop court » des freins qui, en position haute, brident alors le bord de fuite",2,,
N25M,"Les systèmes de réglage de calage en vol (trims, afficheurs, accélérateurs) :",sont à proscrire,-6,sont déconseillés aux débutants,2,"doivent s'employer avec prudence, surtout aux extrêmes de leur réglage de part et d'autre du « neutre »",2,doivent pouvoir être débrayés aisément en vol,2,,
N26V,"Lors du stockage et du transport, le parapente doit être protégé du voisinage ou du contact :",des champs électriques,0,des solvants et des corps gras,2,de l'humidité,2,de l'ensoleillement,2,,
N27V,Citez les facteurs de vieillissement pour une aile :,le soleil,2,les techniques de descente rapide,2,les turbulences,-6,l'humidité,2,,
N28B,Des commandes réglées trop tendues :,peuvent empêcher la montée de la voile,2,peuvent auto brider le bord de fuite lors de l'utilisation de l'accélérateur,2,créent un risque supplémentaire de phase parachutale,2,n'ont rien à voir avec les cascades d'incidents,-6,,
N29M,L'ordre de grandeur de la résistance des suspentes de lignes basses et moyennes est généralement de :,10 daN,-6,100 daN,6,1000 daN,-6,,,,
N30V,Les suspentes sont généralement constituées :,de fibres de kevlar,2,de fils polyéthylènes tressés,2,de gaines en polyester,2,,,,
N31M,La fibre aramide (kevlar) :,possède un faible pourcentage d'allongement,2,possède une bonne élasticité,-6,possède une bonne résistance à la rupture mais une fragilité à l'écrasement,2,peut être accessoirement gainée pour la protéger contre l'abrasion et les UV,2,,
N32M,Le polyéthylène :,est sensible à l'humidité,-6,possède un faible pourcentage d'allongement,-6,possède une basse température de fusion (risque important de rupture par frottement),3,possède une très bonne résistance à la rupture,3,,
N33V,Un nœud sur une suspente :,augmente la résistance à la rupture,-6,peut diminuer la résistance à la rupture jusqu'à 50 %,6,n'influe pas sur la résistance à la rupture,-6,,,,
N34M,"Pour la sécurité, il est souhaitable de voler en possession de :",un kit de sécurité équipé au minimum d'une cordelette de 20 m,2,d'un téléphone portable et du numéro d'appel des secours qui est le 112,2,d'un téléphone portable et d'un numéro d'appel des secours qui est le 118,-6,"d'une radio VHF calée sur la fréquence 143,987.5 Mhz",2,,
N35B,La norme CEN E 926-1 et 2 :,sépare les parapentes en 4 niveaux de comportements en vol,2,"attribue les lettres A, B, C ou D à 28 manœuvres réalisées en vol par des pilotes test",2,"applique des tests de résistance à 8G, au sol, derrière un véhicule",2,classe les parapentes en 4 niveaux d'accès dont le plus accessible est noté D,-6,,
N36B,Le sticker CEN apposé sur un parapente :,n'est pas obligatoire sur tous les exemplaires d'un modèle homologué,-6,donne des indications sur le comportement de ce modèle dans certaines configurations de vol,2,permet de se faire une idée sur le niveau de pilotage demandé pour ce modèle,2,indique pour quelle fourchette de poids l'aile a été testée,2,,
N37B,La norme CEN E 926-1 et 2 :,certifie que tout parapente homologué est utilisable sans risque par n'importe quel pilote (y compris les débutants),-6,permet de se faire une idée du comportement de ce modèle,3,est valable quel que soit le harnais monté sur l'aile,-6,oblige le constructeur à conserver les caractéristiques techniques sur tous les exemplaires produits,3,,
N38V,Une aile classée « A » :,est réservée aux débutants,-6,correspond à une pratique « loisir »,3,peut avoir un très bon « taux de chute minimum »,3,,,,
N39M,Un constructeur :,détermine le classement de sa voile selon les résultats aux tests de la norme CEN,3,peut annoncer au public un classement de son aile sans lui avoir fait passer les tests,-6,n'est pas obligé de confronter sa voile à la norme CEN E 1 et 2 avant de la mettre sur le marché,3,,,,
N3V,L'extrados de l'aile est la partie :,avant de l'aile,-6,supérieure de l'aile,6,inférieure de l'aile,-6,,,,
N40B,Le choix d'une voile est guidé par :,la catégorie de la voile,3,le niveau du pilote (fiche de progression),3,son coût abaissé par l'absence de contrôle technique,-6,le site principalement fréquenté,0,,
N41B,Le choix d'une voile est guidé par :,la catégorie de la voile,2,l'avis d'un vendeur spécialisé qui connaît le pilote,3,le niveau que le pilote veut atteindre,-6,le niveau d'accessibilité défini par la presse spécialisée,1,,
N42V,"Un pilote en phase d'accès à l'autonomie, licencié « volant » pour la première année :",devrait voler sous une aile homologuée en « A » ou « B »,6,devrait voler sous une aile classée « C »,-6,devrait voler sous une aile classée « D »,-6,,,,
N43B,L'emport du parachute de secours :,est obligatoire en compétition FFVL,3,est obligatoire en sortie club,-6,est vivement conseillé quelle que soit la forme de pratique et demande une formation pour son utilisation,3,nécessite une autorisation d'utilisation,-6,,
N44B,Le container du parachute de secours :,peut être positionné au dos de la sellette,2,peut être positionné sous la planche d'assise de la sellette,2,peut être positionné en position ventrale,2,ne peut pas être connecté aux abords de la connexion du parapente sur la sellette,-6,,
N45B,Le système de fermeture du container extérieur du parachute :,doit se libérer à la première traction de la poignée de parachute (effort compris entre 4 et 6 kg),2,une large bande de velcro pour la stabiliser evitera les ouvertures intempestives,-6,est généralement verrouillé par une aiguille souple ou rigide,2,doit être vérifié avant chaque décollage,2,,
N46M,Lors du montage du parachute sur la sellette :,je m'assure que la chaîne « parachute & pod & poignée d'extraction et container extérieur » sont compatibles,2,l'emplacement du parachute sur ma sellette n'a pas été un critère pour la choisir,-6,"une fois le parachute conditionné, je fais un essai d'extraction en statique puis reconditionne à l'identique",2,"si j'utilise un « nœud plat » pour connecter mon parachute aux élévateurs, je le stabilise sous une gaine qui le comprime",2,,
N47M,Lors du montage du parachute sur la sellette :,vous fixez les élévateurs du parachute aux ancrages dédiés par le constructeur de la sellette,2,"sur portique une fois le parachute conditionné, je fais un essai d'extraction puis reconditionne à l'identique",2,pour relier le parachute aux élévateurs j'utilise un maillon de 3 mm d'épaisseur,-6,"je me suis informé préalablement sur les connectiques, leurs emplacements sur la sellette et leurs conséquences sur l'emploi du parachute",2,,
N48B,Pour rendre efficace l'utilisation du parachute de secours je dois :,"en vol, régulièrement m'exercer à trouver le contact de sa poignée",2,faire un lavage par an en machine avant de le replier,-6,l'aérer une fois par an au minimum avant de le replier,2,avoir étudié le mode d'affalement du parapente afin d'optimiser les performances du parachute,2,,
N49B,"Pour garder mon parachute en bon état, je dois :",le stocker au sec et éviter tout contact avec l'humidité,2,"l'aérer puis le replier une à deux fois par an, et a minima selon les préconisations du constructeur",2,l'essayer en vol sur mon site préféré au moins deux fois par an,-6,changer les élastiques qui conditionnent son suspentage à chaque repliage,2,,
N4B,La surface d'un parapente est généralement donnée par :,la projection de la voile gonflée sur un plan,3,l'envergure multiplié par l'épaisseur du profil,-6,la surface de l'intrados posé à plat,3,,,,
N49M,Sur un parachute de secours :, la puissance et la rapidité du geste de lancer dépend de la position du parachute sur la sellette,2, le conditionnement du parachute dans la sellette est un point récurent d'erreurs pouvant entraver son fonctionnement,2,la longueur de la drisse entre le pod et la poignée d'extraction peut rendre la puissance et la précision du lancer aléatoire,2,la norme CEN teste la résistance des parachutes pour la charge maximale annoncée par le constructeur à une vitesse de 50 m/s,-6,,
N50B,Pour assumer l'emploi du parachute de secours il faut :,pouvoir contrôler la possibilité d'un « effet miroir »,2,avoir préalablement correctement réglé sa sellette en cas d'accroche aux épaules,2,étudier à fond le sujet du parachute pour se permettre un engagement plus important sous son aile,-6,"étudier toutes les probématiques autour de l'extraction, du lancer, de la descente sous parachute et du contact avec le sol",2,,
N51V,Un pilote non breveté ne volant pas régulièrement :,ne devrait voler qu'avec des voiles classées en « A »,6,doit utiliser une voile classée en « C »,-6,choisit sa voile selon les conditions aérologiques,-6,,,,
N52B,Un pilote breveté ayant une pratique loisir irrégulière :,ne devrait voler qu'avec des voiles classées en « A » ou « B »,6,peut envisager de faire l'essaie d'une voile classée en « D »,-6,peut envisager de faire l'essaie un prototype en air calme,-6,choisit sa voile selon les conditions aérologiques,-6,,
N53M,Le niveau de classification obtenu par une voile lors des tests représente :,le comportement de l'aile dans des situations précises,6,les limites extrêmes de comportement que l'aile aura en conditions aérologiques turbulentes,-6,le niveau du pilote testeur sous cette voile,-6,,,,
N54B,Une voile classée « A » aux tests de la norme CEN :,permet au pilote de voler en conditions fortes,-6,"tolère, à l'écart du relief, des imprécisions de pilotage dans des conditions aérologiques modérées",3,a des qualités d'amortissement des turbulences intéressantes pour l'apprentissage,3,,,,
N55B,Le niveau d'accessibilité d'une voile dépend :,des indications du constructeur,1,des résultats aux tests,1,du niveau technique du pilote,2,de la charge alaire appliquée sur les modèles dont la fourchette de poids est très large,2,,
N56V,Le choix de la sellette est guidé par :,le confort de la posture de pilotage recherchée,3,les recommandations du constructeur,3,la ristourne accordée par le vendeur,-6,,,,
N57V,Vous choisissez votre sellette pour :,son adaptation à votre morphologie,2,l'emplacement du parachute sur la sellette est un critère de choix secondaire,-6,la possibilité qu'elle vous offre de vous asseoir sans l'aide des mains,2,la possibilité qu'elle vous offre de vous mettre facilement debout,2,,
N58V,Les protections dorsales et latérales de votre sellette :,vous garantissent une pratique en toute sécurité,-6,présentent des degrés de protection très variables,3,ne peuvent être considérées comme des protections parfaites dans tous les cas,3,,,,
N59B,Les protections dorsales et latérales de votre sellette :,vous autorise à un niveau d'engagement plus fort,-6,peuvent protéger contre un choc de faible intensité,2,permettent parfois et pour certains modèles d'atténuer les lésions dues au poinçonnement,2,peuvent améliorer le maintien dorsal,2,,
N5V,"L'envergure, c'est :",la plus grande largeur de l'aile,6,le nombre de cellules ou d'alvéoles,-6,la distance entre le bord d'attaque et le bord de fuite,-6,,,,
N60V,La corde d'une aile désigne :,la hauteur du cône de suspentage,-6,la mesure entre le bord d'attaque et le bord de fuite,6,l'épaisseur maximale du centre de l'aile,-6,,,,
N61V,Un casque de vol libre doit présenter les qualités suivante :,un champ visuel non diminué et une taille adaptée,2,une bonne audition pour évaluer la vitesse de vol,2,une bonne absorption d'énergie en cas de choc,2,une belle décoration,-6,,
N62V,Un casque de vol libre :,se ferme rapidement par velcro,-6,est testé selon des normes,3,comprend une enveloppe « composite » anti-poinçonnement et une mousse absorbante,3,,,,
N63V,"Pour le vol libre, on peut se servir :",d'un casque de VTT,-6,d'un casque de spéléologie,-6,d'un casque de moto,-6,d'un casque spécial vol libre,6,,
N64V,"Vous achetez un parapente, vous vous assurez :",qu'il a déjà été testé en vol (dans le cas d'une voile neuve),2,qu'il correspond à votre niveau de pilotage,2,qu'il correspond à votre poids,2,,,,
N65V,"Vous achetez un parapente, vous vous assurez :",qu'un manuel de vol est fourni,2,que le manuel décrit les manœuvres de descente rapide préconisées,2,que les limites d'utilisation de l'aile sont indiquées dans le manuel,2,,,,
N67B,L'emport du parachute de secours se justifie par les risques de :,"incident de vol irréversible (twist, cravate, etc.)",2,collision,2,abandon du vol par épuisement,-6,rupture de l'aile,2,,
N6B,L'allongement d'une aile est égale :,au carré de la corde divisé par la surface,-6,au carré de l'envergure divisé par la surface,6,au carré de la surface divisé par l'envergure,-6,,,,
N7V,Le cône de suspentage :,"définit, au niveau de l'envergure, la forme de la voûte (ronde ou aplatie)",3,définit le calage du profil,3,ne varie jamais quand l'aile vieillit,-6,ne met pas en cause l'assiette de l'aile,-6,,
N8M,On appelle vrillage l'angle entre :,la corde centrale et la corde en bout d'aile,6,l'intrados et l'extrados,-6,les élévateurs avant et arrière,-6,,,,
N9V,Le calage de l'aile :,dépend du réglage des freins,-6,est directement lié aux longueurs des suspentes,3,définit l'assiette de l'aile en vol,3,peut être modifié sans risque par l'utilisateur puisqu'il est compensé par le poids du pilote en vol,-6,,
R10B,Font partie des dispositifs anti-piqué que l'on peut trouver sur une aile :,les baguettes de calage de bout d'aile (floatings),2,la transversale ou la quille flottante,-6,les câbles de rappel,2,les lattes d'intrados,2,,
R11V,Les roulettes de trapèze sont :,obligatoires sur toutes les ailes école,3,conseillées sur toutes les ailes personnelles,3,inefficaces pour un atterrissage en cross,-6,,,,
R12B,Mes vols seront plus performants avec une aile :,"aux performances maximales, mais difficile à piloter pour mon niveau",-6,"que je maîtrise bien, aux performances honnêtes",6,"qui gagne en compétition, quelque soit mon niveau",-6,,,,
R13B,Critères de choix d'une aile :,la finesse/sol,-6,"la finesse maximale, le taux de chute mini, la pénétration",2,"la maniabilité, le comportement en turbulences",2,la stabilité,2,,
R14V,Le vieillissement d'une voile est provoqué principalement par :,le stockage,0,le transport,2,les surcharges répétées,2,le soleil,2,,
R15B,Un tube ayant dépassé sa limite élastique présente une déformation permanente. Cette pièce :,doit être changée,6,peut être redressée sans risque plusieurs fois,-6,peut être redressée une seule fois,-6,,,,
R16B,Les tubes d'un delta travaillent :,en compression pour les transversales,2,en étirement pour les montants de trapèze,-6,en flexion pour les bords d'attaque,2,en compression pour les montants de trapèze,2,,
R17B,Les tubes d'un trapèze travaillent :,en flambage pour les montants,3,en étirement pour la barre de contrôle,3,en flambage pour la barre de contrôle,-6,,,,
R18B,La limite élastique d'un tube que l'on tord correspond :,au moment où il se casse,-6,au moment où il reste déformé,6,au moment où il blanchit,0,,,,
R19M,L'anodisation d'un tube :,est faite par électrolyse,2,est faite par enduction,-6,le protége de l'oxydation,2,représente une couche de quelques microns d'épaisseur,2,,
R1B,La forme du profil d'une aile :,est pratiquement la même pour tous les modèles,-6,est étudiée pour chaque aile en fonction des performances recherchées,6,"n'a que très peu d'influence sur les performances, seul le profilage du pilote peut améliorer celles-ci",-6,,,,
R20B,Une aile delta ne doit pas être utilisée :,si un câble présente des torons rompus,3,si elle n'est pas équipée de dispositifs anti-piqué,3,si elle présente un dièdre négatif,0,si elle est dépourvue de barre anti-roulis,-6,,
R21B,"Pour des raisons de sécurité, l'accastillage utilisé sur une aile delta comporte :",des poignées d'étarquage,-6,une double surface en bord de fuite,-6,une double attache,3,des boulons munis d'épingles de sécurité ou des écrous auto-bloquants,3,,
R22M,Une aile delta doit être considérée comme dangereuse :,si elle n'est pas symétrique,2,si sa structure n'a pas été vérifiée après un choc violent,2,si un tube présente un blanchiment suite à une flexion,2,,,,
R23B,"Après un atterrissage brusque, vous devez vérifier le bon état :",de la quille,2,du boulon central et de la tête de trapèze,2,des montants de trapèze,2,,,,
R24B,Le parachute de secours doit être relié :,par des mousquetons sans vis à l'appareil,-6,par des mousquetons à vis à l'appareil,2,par une attache reliée le plus directement possible au pilote,2,par une attache reliée le plus directement possible à l'appareil,2,,
R25B,Sur un delta vieillissant :,la voile peut se déchirer en plein milieu de l'aile,-6,les cordelettes de rappel en textile sont probablement à changer,2,"les câbles sont à vérifier très soigneusement : ils vieillissent beaucoup, surtout mal pliés",2,"le tissu a rétréci, l'aile s'est tendue, son comportement a probablement changé",2,,
R26B,"Mon delta a 10 ans, c'était une aile performante de l'époque et je vole souvent avec :","son comportement a probablement changé, mais c'est venu petit à petit et je ne m'en aperçois pas",3,"la voile s'est détendue, je la retends pour lui rendre ses performances",-6,"la voile a globalement rétréci, mais s'est détendue en bord fuite : elle flappe probablement",3,"elle a presque les mêmes performances qu'une aile de débutant actuel, elle fera donc le bonheur d'un débutant en occasion",-6,,
R2V,L'extrados de l'aile est la partie :,avant,-6,supérieure,6,inférieure,-6,,,,
R3V,L'envergure est la distance entre :,les deux extrémités latérales de l'aile,6,le nez et l'extrémité de la quille,-6,les extrémités de la transversale,-6,,,,
R4V,La corde d'un profil est :,un segment de droite,6,un segment de courbe,-6,une surface,-6,,,,
R5V,La corde d'une aile :,est liée à l'épaisseur du profil,-6,varie généralement tout au long de l'envergure,3,est la distance du bord d'attaque au bord de fuite,3,,,,
R6V,On appelle vrillage l'angle entre :,la corde centrale et la corde en bout d'aile,6,la corde centrale et la quille,-6,la quille et la corde en bout d'aile,-6,,,,
R7B,Le vrillage négatif d'une aile :,rend le décrochage progressif,2,facilite la mise en virage,2,crée un couple redresseur favorable à la stabilité aux incidences faibles,2,,,,
R8M,"Sur une aile vrillée négativement en vol rectiligne équilibré et par rapport aux profils de la partie centrale, les profils de bouts d'ailes :",ont une incidence moins élevée,6,ont une incidence plus élevée,-6,,,,,,
R9B,L'allongement d'une aile est égal au rapport du carré :,de la corde sur la surface de l'aile,-6,de l'envergure sur la surface de l'aile,6,de la surface sur l'envergure,-6,,,,
S100B,La qualification d'accompagnateur fédéral :,est un produit fédéral permettant aux club de mieux accueillir et aider les nouveaux pilotes,3,est un produit fédéral visant à concurrencer les écoles professionnelles,-6,permet de bénéficier d'allègements de formation du diplôme d'Etat (DEJEPS),-6,s'adresse à des bénévoles et n'attribue aucune prérogative pour l'enseignement du vol libre,3,,
S101B,Les actions de l'accompagnateur fédéral se font auprès :,de pilotes de bon niveau non licenciés,-6,"de pilotes licenciés, au minimum fin de niveau vert ayant validés le brevet initial",6,de pilotes brevetés assurés,0,d'accompagnateurs de club entre eux uniquement,-6,,
S102B,L'accompagnateur fédéral utilise sa radio :,pour guider les pilotes qu'il accompagne tout le long du vol,-6,"comme n'importe quel pilote, sans plus",6,uniquement pour les guider au décollage,-3,uniquement pour les guider à l'atterrissage,-3,,
S103B,Les relations entre accompagnateur fédéral et écoles de vol libre :,sont à éviter absolument,-6,pourraient nuire à la bonne évolution de l'activité,-6,sont indispensables dans l'intérêt des pratiquants,3,améliorent et facilitent le rôle de chacun pour la progression du nouveau pilote,3,,
S104V,"Après ses premiers grands vols en école de vol libre, l'élève :","peut prendre une licence, voler en présence de l'accompagnateur de club s'il a validé le niveau vert, et se perfectionner en école dés que possible",6,bénéficie de l'enseignement délivré par l'accompagnateur de club,-3,prend une licence et ne doit plus retourner en école,-3,se forme au pilotage biplace,-6,,
S105B,L'accompagnateur fédéral dans un club de plaine :,maîtrise les spécificités du treuil,3,a les mêmes prérogatives que l'accompagnateur fédéral dans un club de montagne,3,ne peut proposer de sorties montagnes,-6,,,,
S106V,Citez deux composantes principales de la réglementation aérienne internationale :,horaires en temps universel et langue anglaise,6,mesures en mètres et langue française en Europe,-6,priorité aux vols internationaux et heure européenne,-6,,,,
S107V,Quelles règles de vol s'appliquent aux aéronefs ultralégers non motorisés ?,IFR,-6,VFR,6,CTR,-6,,,,
S108V,A quelle altitude maximale peut évoluer un aéronef ultraléger non motorisé en plaine ?,2500 m,-6,4000 m,-6,3500m (FL115),6,,,,
S109V,"Citez un schéma possible, d'organisation des espaces, autour d'un aéroport :",CTR de classe E et TMA de classe D,-6,CTR de classe E et TMA de classe E,-6,CTR de classe D et TMA de classe D et E,6,,,,
S10M,"Les diplômes d'Etat de Vol Libre (BEES, BPJEPS, DEJEPS, DESJEPS parapente ou delta) :",sont des diplômes sanctionnant un niveau supérieur à celui de moniteur fédéral,2,sont des diplômes Etat (Ministère Jeunesse & Sports) construits en collaboration avec la FFVL,2,sont des diplômes permettant légalement de pratiquer le biplace contre rémunération,1,sont des diplômes permettant légalement d'enseigner le Vol Libre contre rémunération,1,,
S110V,Quelles classes d'espace sont accessibles au vol libre ?,A et D,-6,C et D,-6,E et G,6,,,,
S111V,Où peut être située une ZRT ?,N'importe où,6,Uniquement en bordure d'un aérodrome,-6,Uniquement en espace militaire,-6,,,,
S112V,Quel est le nom d'un réseau de zones militaires de basse altitude particulièrement dangereux ?,ZIT,-6,RTBA,6,CTR,-6,,,,
S113V,Quel est le service officiel en charge de l'information aéronautique ?,Le ministère des sports,-6,La FFVL,-6,Le SIA,6,,,,
S114V,Comment est annoncé un exercice militaire ?,Par lettre d'information aux usagers,-6,Par la presse spécialisée,-6,Par NOTAM ou SUP AIP sur le site du SIA,6,,,,
S115V,Comment peut-on connaitre l'activité du RTBA ?,En lisant la carte aéronautique,-6,En lisant le message AZBA sur le site du SIA,6,En parcourant le calendrier des exercices militaires,-6,,,,
S116B,Quel type de plan de vol sont tenus de déposer les pratiquants de vol libre ?,Un plan de vol simplifié comprenant les horaires et lieux de vol prévus,-6,"Sauf cas très particulier, les pratiquants de vol libre ne sont pas tenus de déposer un plan de vol",6,Un plan de vol simplifié comprenant uniquement l'itinéraire prévu,-6,,,,
S117B,Suis-je soumis aux mêmes règles si mon parapente ou delta est équipé d'un moteur ?,"Oui, sous réserve de n'utiliser le moteur que temporairement",-6,"Oui, sous réserve d'avoir une assurance complémentaire",-6,"Non, un delta ou un parapente équipé d'un moteur est soumis aux règles des ULM",6,,,,
S118B,Un pilote de vol libre peut-il être soumis à un contrôle d'alcoolémie ou de stupéfiants ?,"Non, cela ne concerne que la réglementation routière",-6,"Oui, mais la tolérance est identique à la circulation routière",-6,"Oui, et l'usage de boissons alcoolisées ou de stupéfiants est interdit",6,,,,
S119B,Quelle est l'altitude maximale autorisée en vol libre ?,Le FL 115 soit environ 3500 m,3,"Le FL 195, dans certaines LTA E Alpes ou Pyrénées",3,Le FL 100 ou 1000ft surface en haute montagne,-6,,,,
S11M,"Dans une association loi 1901, un moniteur fédéral peut :",être salarié au titre de moniteur,-6,percevoir un défraiement pour ses déplacements,6,percevoir directement à son nom le montant des cours,-6,percevoir une indemnité pour le temps consacré à l'enseignement,-6,,
S120B,"En espace de classe E, puis-je néanmoins croiser un trafic IFR ?","Oui, il est cependant tenu dans ce cas de continuer à évoluer sous le régime IFR",6,"Oui, et le trafic IFR est donc prioritaire",-6,"Non, le trafic IFR n'évolue qu'en espaces classés D à minima",-6,,,,
